Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2000,Kids,Training,SuperRep Go,M,1,6110.030000000001,0.47,3238.3159000000005,2024-03-09,Online,Bangalore,1295.3263600000002
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.0,14873.79,2024-07-09,Retail,Hyderabad,5949.5160000000005
2014,Women,Running,React Infinity,11,1,6110.030000000001,0.0,6110.030000000001,2025-04-12,Online,Bangalore,2444.012
2026,Kids,Lifestyle,Blazer Mid,XL,1,6110.030000000001,0.16,5132.425200000001,2024-08-10,Retail,Kolkata,2052.9700800000005
2029,Men,Training,ZoomX Invincible,12,0,6110.030000000001,0.0,0.0,2023-10-28,Online,Bangalore,0.0
2031,Men,Soccer,Premier III,UNKNOWN,4,3493.04,0.82,2514.9888000000005,2024-05-09,Online,Delhi,1005.9955200000003
2043,Men,Soccer,Premier III,XL,1,3492.89,0.77,803.3646999999999,2024-05-02,Retail,Delhi,321.34587999999997
2044,Kids,Training,SuperRep Go,UNKNOWN,1,6110.030000000001,0.0,6110.030000000001,2023-09-06,Online,Delhi,2444.012
2045,Kids,Lifestyle,Dunk Low,XL,4,6110.030000000001,0.0,24440.120000000003,2025-04-06,Retail,Delhi,9776.048
2047,Women,Training,SuperRep Go,10,1,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,3431.1000000000004
2051,Women,Basketball,Air Jordan,XL,1,6110.030000000001,0.37,3849.3189,2024-01-05,Retail,Delhi,1539.7275600000003
2052,Men,Training,Flex Trainer,10,3,9155.96,0.0,27467.879999999997,2024-10-08,Retail,Pune,10987.152
2056,Men,Running,React Infinity,L,3,6110.030000000001,0.0,18330.090000000004,2024-05-31,Retail,Bangalore,7332.036000000002
2059,Kids,Soccer,Phantom GT,UNKNOWN,1,9507.54,0.0,9507.54,2023-12-27,Retail,Delhi,3803.0160000000005
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.0,15958.52,2024-07-11,Online,Bangalore,6383.408
2065,Women,Lifestyle,Waffle One,10,1,6110.030000000001,0.78,1344.2066,2024-02-11,Retail,Hyderabad,537.68264
2066,Men,Soccer,Phantom GT,XL,1,5259.05,0.0,5259.05,2024-12-10,Online,Mumbai,2103.6200000000003
2069,Women,Training,SuperRep Go,UNKNOWN,1,7502.24,0.0,7502.24,2025-07-14,Online,Pune,3000.896
2077,Men,Training,ZoomX Invincible,L,1,6110.030000000001,0.0,6110.030000000001,2023-11-21,Online,Pune,2444.012
2080,Men,Lifestyle,Blazer Mid,L,1,6110.030000000001,0.0,6110.030000000001,2025-03-31,Online,Bangalore,2444.012
2028,Men,Running,Free RN,UNKNOWN,1,6110.030000000001,0.21,4826.9237,2024-02-14,Online,Hyderabad,1930.7694800000002
2084,Men,Training,Metcon 7,M,2,6110.030000000001,0.0,12220.060000000001,2023-12-24,Online,Mumbai,4888.024
2086,Men,Soccer,Mercurial Superfly,L,0,6110.030000000001,0.45,0.0,2024-10-11,Online,Kolkata,0.0
2098,Men,Training,ZoomX Invincible,L,1,5690.69,0.69,1764.1139000000003,2024-01-24,Online,Hyderabad,705.6455600000002
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0.0,5937.52,2025-07-11,Retail,Mumbai,2375.0080000000003
2110,Kids,Running,Air Zoom,12,1,6110.030000000001,0.42,3543.817400000001,2024-12-25,Retail,Pune,1417.5269600000004
2113,Women,Basketball,Air Jordan,XL,1,3939.34,0.0,3939.34,2023-12-19,Retail,Pune,1575.736
2117,Women,Training,SuperRep Go,L,0,7645.96,0.0,0.0,2024-10-30,Online,Pune,0.0
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.0,16853.08,2023-09-21,Online,Hyderabad,6741.232000000001
2000,Kids,Running,React Infinity,M,1,6110.030000000001,0.0,6110.030000000001,2023-11-20,Retail,Kolkata,2444.012
2127,Men,Training,Metcon 7,L,1,4020.5,0.0,4020.5,2023-08-19,Online,Mumbai,1608.2
2135,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,4735.4372,2024-11-03,Retail,Hyderabad,1894.1748800000003
2136,Kids,Training,ZoomX Invincible,L,1,6110.030000000001,0.0,6110.030000000001,2024-09-15,Online,Pune,2444.012
2141,Kids,Soccer,Tiempo Legend,UNKNOWN,1,6110.030000000001,1.0,0.0,2023-11-22,Retail,Kolkata,0.0
2142,Kids,Soccer,Mercurial Superfly,UNKNOWN,1,6110.030000000001,0.0,6110.030000000001,2024-10-03,Retail,Kolkata,2444.012
2147,Women,Soccer,Phantom GT,XL,1,6110.030000000001,0.0,6110.030000000001,2024-09-14,Online,Hyderabad,2444.012
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.0,22479.0,2025-05-27,Online,Bangalore,8991.6
2154,Kids,Lifestyle,Blazer Mid,XL,1,2963.16,0.0,2963.16,2025-04-01,Online,Bangalore,1185.264
2160,Kids,Running,Air Zoom,XL,1,6110.030000000001,0.0,6110.030000000001,2025-03-01,Retail,Mumbai,2444.012
2168,Women,Running,Pegasus Turbo,UNKNOWN,1,6110.030000000001,0.85,916.5045000000002,2024-08-01,Retail,Kolkata,366.60180000000014
2022,Women,Lifestyle,Air Force 1,L,1,9378.52,1.0,0.0,2023-10-29,Retail,Mumbai,0.0
2177,Women,Lifestyle,Waffle One,XL,1,6110.030000000001,0.0,6110.030000000001,2025-06-27,Retail,Mumbai,2444.012
2179,Women,Training,ZoomX Invincible,M,3,6110.030000000001,0.0,18330.090000000004,2024-01-26,Retail,Pune,7332.036000000002
2180,Women,Basketball,LeBron 20,XL,1,6110.030000000001,0.0,6110.030000000001,2024-05-15,Online,Pune,2444.012
2192,Men,Basketball,Kyrie Flytrap,XL,1,6110.030000000001,0.0,6110.030000000001,2023-10-13,Retail,Delhi,2444.012
2193,Women,Lifestyle,Waffle One,XL,1,6110.030000000001,1.0,0.0,2025-01-17,Retail,Delhi,0.0
2196,Kids,Soccer,Premier III,L,2,2708.73,0.0,5417.46,2025-06-30,Online,Delhi,2166.984
2197,Kids,Training,ZoomX Invincible,L,3,6110.030000000001,0.0,18330.090000000004,2024-10-06,Online,Bangalore,7332.036000000002
2201,Women,Training,SuperRep Go,11,1,6110.030000000001,0.0,6110.030000000001,2024-05-10,Online,Mumbai,2444.012
2000,Kids,Training,Metcon 7,UNKNOWN,4,6110.030000000001,0.94,1466.4072000000015,2024-02-27,Retail,Bangalore,586.5628800000006
2221,Kids,Lifestyle,Waffle One,L,2,3375.97,0.0,6751.94,2024-01-06,Retail,Mumbai,2700.776
2222,Men,Training,ZoomX Invincible,XL,2,8897.19,0.11,15836.998200000002,2024-12-21,Retail,Mumbai,6334.799280000001
2223,Kids,Training,Flex Trainer,M,1,9180.15,0.0,9180.15,2025-02-15,Online,Kolkata,3672.06
2231,Kids,Training,Flex Trainer,9,0,6110.030000000001,1.0,0.0,2025-01-04,Online,Bangalore,0.0
2234,Men,Training,Flex Trainer,UNKNOWN,4,6189.1,1.0,0.0,2024-12-21,Retail,Bangalore,0.0
2248,Men,Training,Metcon 7,M,4,8249.96,0.24,25079.878399999998,2024-01-16,Online,Bangalore,10031.95136
2249,Men,Training,Flex Trainer,M,1,7730.77,0.0,7730.77,2024-05-28,Online,Delhi,3092.3080000000004
2250,Men,Basketball,Kyrie Flytrap,XL,1,6110.030000000001,0.0,6110.030000000001,2024-10-01,Retail,Pune,2444.012
2258,Women,Lifestyle,Dunk Low,L,1,6110.030000000001,0.39,3727.1183000000005,2023-11-21,Online,Mumbai,1490.8473200000003
2262,Women,Running,Pegasus Turbo,L,0,6110.030000000001,0.0,0.0,2024-09-15,Retail,Pune,0.0
2264,Men,Training,ZoomX Invincible,UNKNOWN,4,5622.32,1.0,0.0,2024-04-22,Retail,Bangalore,0.0
2267,Women,Running,Air Zoom,M,1,3075.72,0.0,3075.72,2024-12-20,Retail,Kolkata,1230.288
2268,Men,Soccer,Mercurial Superfly,M,3,7330.81,0.0,21992.43,2023-11-16,Online,Kolkata,8796.972
2269,Women,Training,ZoomX Invincible,11,4,6424.32,0.0,25697.28,2024-07-14,Retail,Mumbai,10278.912
2271,Kids,Lifestyle,Waffle One,9,1,5116.58,0.07,4758.4194,2024-05-03,Retail,Delhi,1903.36776
2273,Kids,Running,Free RN,M,1,4004.36,0.0,4004.36,2024-01-30,Online,Kolkata,1601.7440000000001
2276,Kids,Lifestyle,Air Force 1,L,1,6066.5,0.0,6066.5,2023-08-29,Retail,Kolkata,2426.6
2279,Women,Lifestyle,Blazer Mid,6,1,6110.030000000001,0.0,6110.030000000001,2024-08-03,Retail,Mumbai,2444.012
2281,Kids,Lifestyle,Waffle One,M,2,6110.030000000001,0.0,12220.060000000001,2025-07-13,Retail,Kolkata,4888.024
2286,Women,Lifestyle,Waffle One,UNKNOWN,1,6110.030000000001,0.0,6110.030000000001,2024-10-16,Online,Bangalore,2444.012
2317,Men,Training,Flex Trainer,M,1,9695.44,1.0,0.0,2024-09-13,Online,Kolkata,0.0
2321,Men,Lifestyle,Dunk Low,8,1,6110.030000000001,0.0,6110.030000000001,2024-06-10,Online,Mumbai,2444.012
2332,Kids,Training,Flex Trainer,UNKNOWN,1,6110.030000000001,0.22,4765.8234,2024-07-15,Retail,Pune,1906.3293600000002
2334,Women,Training,SuperRep Go,L,4,6110.030000000001,0.82,4399.221600000002,2024-06-06,Retail,Mumbai,1759.6886400000008
2335,Women,Running,Free RN,XL,0,5620.64,0.0,0.0,2024-01-05,Online,Mumbai,0.0
2336,Kids,Soccer,Mercurial Superfly,8,4,8482.43,0.0,33929.72,2023-10-22,Online,Pune,13571.888
2342,Women,Training,Metcon 7,XL,1,6110.030000000001,0.0,6110.030000000001,2024-08-19,Retail,Kolkata,2444.012
2348,Kids,Training,Metcon 7,XL,1,6591.41,0.0,6591.41,2025-04-29,Retail,Delhi,2636.5640000000003
2349,Kids,Soccer,Tiempo Legend,10,3,6110.030000000001,0.0,18330.090000000004,2023-10-25,Online,Delhi,7332.036000000002
2353,Kids,Training,ZoomX Invincible,9,0,6110.030000000001,0.22,0.0,2024-10-03,Retail,Bangalore,0.0
2368,Women,Lifestyle,Waffle One,L,1,5582.98,0.0,5582.98,2023-08-04,Retail,Delhi,2233.192
2372,Men,Running,Free RN,UNKNOWN,1,7624.86,0.0,7624.86,2025-05-23,Online,Kolkata,3049.944
2006,Women,Basketball,Zoom Freak,L,1,8799.22,0.0,8799.22,2023-08-13,Retail,Bangalore,3519.688
2379,Men,Lifestyle,Air Force 1,L,4,6110.030000000001,0.0,24440.120000000003,2024-04-09,Online,Mumbai,9776.048
2382,Men,Lifestyle,Waffle One,L,4,6110.030000000001,0.0,24440.120000000003,2024-03-09,Retail,Mumbai,9776.048
2394,Kids,Lifestyle,Air Force 1,XL,1,6110.030000000001,0.2,4888.024,2023-08-18,Online,Delhi,1955.2096000000001
2397,Men,Soccer,Phantom GT,XL,1,6110.030000000001,0.0,6110.030000000001,2023-12-27,Retail,Mumbai,2444.012
2399,Women,Running,Air Zoom,L,1,6188.29,0.0,6188.29,2024-08-07,Retail,Pune,2475.3160000000003
2025,Kids,Training,ZoomX Invincible,XL,4,6743.07,0.0,26972.28,2024-10-09,Online,Pune,10788.912
2402,Kids,Running,React Infinity,UNKNOWN,1,6437.85,0.0,6437.85,2025-03-09,Online,Mumbai,2575.1400000000003
2404,Men,Lifestyle,Blazer Mid,XL,1,6110.030000000001,0.09,5560.127300000001,2024-01-25,Online,Pune,2224.0509200000006
2405,Men,Basketball,Kyrie Flytrap,6,1,6110.030000000001,0.0,6110.030000000001,2024-11-17,Online,Kolkata,2444.012
2406,Men,Training,Metcon 7,L,4,6458.72,0.0,25834.88,2023-09-17,Online,Mumbai,10333.952000000001
2407,Kids,Running,Free RN,6,1,9193.15,0.0,9193.15,2023-12-30,Online,Kolkata,3677.26
2414,Women,Basketball,Air Jordan,XL,1,8141.8,0.0,8141.8,2024-01-25,Online,Hyderabad,3256.7200000000003
2418,Men,Soccer,Phantom GT,XL,1,9288.75,0.54,4272.825,2025-04-29,Retail,Mumbai,1709.13
2419,Men,Lifestyle,Dunk Low,L,1,8738.99,0.47,4631.6647,2024-07-14,Online,Hyderabad,1852.6658800000002
